word,mean
mother tongue,모국어
medicinal,약용의
upright,"직립한, 곧은"
hierarchical,계층제의
decline,"거절하다, 기울다"
theatergoer,극장에 자주 가는 사람
bring,"가져오다, 초래하다"
simplicity,간단
crevice,균열
victim,피해자
learn,배우다
mammal,포유동물
choose,선택하다
transplantation,이식
humanity,"인류, 인간애"
break out,발생하다
tail,꼬리
bloom,개화
boost,증진시키다
let go of,~을 버리다
obtainable,획득할 수 있는
hardware,기계 설비
dozen,12개
choir,합창단
bore,~을 지루하게 하다
even if,비록~일지라도
primarily,최초로
duration,내구성
tired,"피곤한, 질린"
traffic jam,교통 혼잡
eventful,다사다난한
bridge,다리
envious,시기하는
laundry,"세탁, 세탁소"
pouch,가방
elegant,우아한
gift,"선물, 재능"
flammable,가연성의
protein,단백질
friction,마찰
learn one‘s lesson,교훈을 얻다
waist,허리
councilor,"고문관, 의원"
mostly,"주로, 대부분은"
latter,후자
youth,젊음
kitchen,주방
sentiment,정서
meantime,그 동안
yell,외치다
genre,장르
effort,노력
misguide,잘못 지도하다
seemingly,겉으로는
needle,"바늘, 바느질"
sealed,봉인된
in fact,사실
sell out,매진되다
syllabus,시간표
furnish,"공급하다, 비치하다"
constitute,구성하다
consensus,"의견 일치, 합의"
challenge,도전하다
assist,원조하다
intend,의도하다
advancement,"전진, 승진"
depreciation,가치하락
starve,굶주리다
shift,전환(하다)
attempt,시도하다
distinct,"뚜렷한, 별개의"
watch,지켜보다
antibody,항체
activate,활성화 시키다
fare,요금
mosquito,모기
victimless,피해자 없는
generalist,박학다식한 사람
owe,빚지다
neighbor,이웃
endangerment,위험에 빠뜨리는 것
throughout,"~동안 내내, ~을 통하여"
passage,"구절, 통행"
woolly,양모로 된
conqueror,정복자
greenhouse,온실효과
behavioral,행동의
globalization,세계화
spacious,"넓은, 거대한"
watchman,경비원
citizenship,시민권
errand,심부름
wake,잠이 깨다
unconscious,무의식의
bareback,안장이 없는
invariably,일정불변하게
retain,~을 유지하다
century,세기
in addition,게다가
plastic,플라스틱
dimly,희미하게
enterprise,"기업, 진취적 정신"
kingdom,"왕국, 영역"
set in,시작되다
the amount of,~의 양
so far,현재까지
set up,설립하다
turkey,칠면조
in person,본인이 직접
operation,"작용, 수술"
complicated,복잡한
hopeless,절망한
logic,논리
roar,으르렁 거리다
relationship,관계
dash,"돌진하다, 내던지다"
fingernail,손톱
dictate,"명령하다, 받아쓰게 하다"
joyous,즐거운
let down,~을 실망시키다
simultaneously,동시에
brutal,잔혹한
nurture,양육(하다)
stray,길을 잃다
equip,"장비하다, 수여하다"
advantage,"이익, 유리"
in detail,상세히
suitable,적당한
boredom,지루함
turban,(인도식)두건
hard-and-fast,확정된
accumulate,축적하다
closely,"면밀히, 친밀하게"
justify,정당화하다
beyond,~을 넘어서
roughly,"대략, 거칠게"
dependence,의존
as for,~로 말하자면
irreparable,고칠 수 없는
virgin,"처녀, 순수한"
vine,"포도나무, 덩굴식물"
harmony,조화
grow,"성장하다, 기르다"
prioritize,우선순위를 정하다
flicker,깜박이다
sibling,형제(의)
dependent,의존하는
logical,"이성적인, 논리적인"
delivery,배달
innovative,혁신적인
stir,휘젓다
shopkeeper,가게주인
variety,다양성
in terms of,"~에 관하여, ~으로 환산하여"
regulation,"규정, 조절"
extinct,멸종된
morality,도덕
union,"결합, 연방"
debate,"토의, 숙고하다"
indigo,남색
insecurity,불안
scholar,학자
sketch,밑그림
arctic,북극의
majority,대부분
medicine,약
adulthood,성인기
tender,"부드러운, 제출하다"
unlimited,무제한의
not always,항상 ~인 것은 아니다 (부분부정)
make it up to,~에게 보상을 하다
permission,허락
tension,긴장
take turns,번갈아 하다
tolerate,"용인하다, 참다"
cancel,~을 취소하다
reject,거절하다
jealous,질투하는
farmhouse,농가
pronunciation,발음
invaluable,매우 귀중한
educate,교육하다
flatter,"아부하다, 우쭐해하다"
strange,이상한
adult,성인
heartbreaking,가슴 아프게 하는
station,"정거장, 배치하다"
reservation,"예약, 보류"
preach,"설교하다, 전도하다"
past,과거
collaborate,협동하다
material,재료
dizzy,어지러운
educational,교육적인
irritable,성미가 급한
solitary,혼자의
in vain,헛되이
tear,"눈물, 찢다"
trample,짓밟다
break up,"해산하다, (관계가)깨지다"
fiber,섬유질
mistress,여주인
unwrap,"풀다, 폭로하다"
expense,"비용, 지출"
craft,"기술, 선박, 항공기"
interact,상호작용하다
