word,mean
make a fortune,재산을 모으다
deliberately,일부러
meaning,의미
squid,오징어
pregnant,임신중인
restroom,화장실
feather,"깃털, 조류"
persistence,고집
together,함께
belong,소유하다
spirit,"정신, 영혼"
kidney,신장
manage to,그럭저럭 해내다
measured,"측정된, 균형이 맞는"
specialization,전문화
socialization,사회화
halve,이등분하다
geology,지질학
sustainability,지속가능성
defensive,방어적인
give away,기부하다
announcement,언급
crafty,교묘한
avoid,피하다
magically,신비하게
occupy,"차지하다, 종사하다"
revision,개정
traditional,전통적인
colonial,식민지의
unusual,"특이한, 흔치않은"
exposure,노출
thus,그러므로
pupil,학생
step,단계
no longer,더 이상 ~ 않다
overspend,과소비하다
length,길이
educator,교사
modern,현대의
onion,양파
paragraph,단락
handler,조련사
mutual,상호의
scatter,흩뿌리다
without question,의심할 여지없이
display,전시하다
machinery,기계
spacecraft,우주선
objectivity,객관성
demand,"요구하다, 수요"
sympathy,동정심
blast,폭발
neither A nor B,A도 아니고 B도 아니다
generation gap,세대 차이
conservation,"보존, 보호"
marshal,(군의)대장
free,"무료의, 자유로운"
mention,언급하다
orchard,과수원
feature,"특징, 얼굴"
agency,대리점
beak,부리
uneasily,불안하게
worry,걱정하다
pest,해충
take a risk,위험을 무릅쓰다
routinely,일상적으로
pain,고통
chat,수다
mumble,중얼거리다
boss,상사
try,"시도하다, 노력하다"
jar,항아리
professional,전문적인
addiction,중독
employer,고용주
commuting,통근
belonging,소유물
breathtaking,아슬아슬한
mount,"~을 싣다, 오르다"
shell,껍질
nourishing,영양가 있는
indifference,무관심
review,복습하다
adequately,적당하게
sadness,슬픔
react,반응하다
service,서비스
beneficial,유익한
tiny,작은
prescription,처방
sail,항해하다
complex,복잡한
sob,흐느껴 울다
exclaim,소리치다
shake,흔들다
purpose,목적
deal with,~에 대처하다
standardization,표준화
degrade,"분해하다, 비하하다"
fix,"고정시키다, 수리하다"
engineering,공학
scorching,"불에 타는 듯한, 더운"
result from,~에 기인하다
competition,경쟁
recent,최근의
receive,받다
messy,어질러진
spouse,배우자
editor,편집자
associated,관련된
delicious,맛있는
imprint,"감명시키다, 누르다, 찍다"
academic,"대학의, 학구적인"
sand,모래
floral,꽃의
quantity,"양, 다량"
mindedness,(~하고 싶은) 생각이 있음
writing,글
trial and error,시행착오
toxin,독소
wear out,닳다
apology,사과
occur,일어나다
attain,달성하다
residential,거주하는
willingness,기꺼이 하는 마음
shorthand,"속기, 약칭"
foreigner,외국인
observable,관찰할 수 있는
excursion,소풍
settle,정착하다
disagreement,불일치
texture,"질감, 감촉"
interpersonal,대인관계의
dioxide,이산화물
in front of,~의 앞에
investment,투자
revolution,혁명
aid,돕다
disc,원반
get to,"~에서 기다리다, 서성거리다"
hang around,무리 짓다
slam,쾅 부딪치다
frighten,~을 깜짝 놀라게 하다
resistance,저항
demonstration,"논증, 데모"
discord,다툼
migrant,"이주하는, 이주자"
copier,복사기
according to,~에 따르면
regardless of,~에도 불구하고
immigrate,이민 오다
extracurricular,과외의
unavoidable,피할 수 없는
deer,사슴
role,역할
goal,목표
index,색인(을 달다)
altitude,높이
through,~을 통해
uneasy,불안한
wetland,습지대
twice,"두 번, 두 배로"
geometry,기하학
clown,어릿광대
centigrade,섭씨
perfection,완벽
inaction,"활동부족, 무대책"
evaluation,평가
brick,벽돌
overschedule,과도한 계획을 세우다
mindless,"어리석은, 부주의한"
position,"지위, 위치"
corner,구석
emotion,감정
feed,"먹이, 먹이를 주다"
wrong,틀린
pulp,과육
celery,셀러리(식물)
racial,인종의
run off,흘러나오다
valuable,"가치 있는, 값 비싼"
delight,기쁨
position,지위
wag,(꼬리를)흔들다
bid,"명령하다, 입찰하다"
lifestyle,생활양식
productive,생산적인
aspiration,열망
shedding,"흘리기, 발산"
circumstance,"상황, 환경"
habitant,주민
despise,경시하다
keep in mind,기억해두다
areal,면적의
apparition,유령
update,갱신하다
spin,돌리다
look into,"~을 조사하다, ~안을 들여다보다"
opponent,"적, 상대"
boast,자랑하다
few,거의 없는
danger,위험
consequence,"결과, 중요성"
etiquette,에티켓
come out,나오다
marginal,"미미한, 경계선상의"
underpass,지하도
hoarsen,목이 쉬다
annual,해마다의
interaction,상호작용
irresistibly,어쩔 수 없이
objection,"반대, 항의운동"
justification,"정당화, 변명"
drop-out rate,중도 자퇴율
regime,"정권, 계획"
attorney,"변호사, 법조인"
distrust,수상히 여기다
bilingual,두 나라 말을 하는
capability,"능력, 역량"
megaphone,"메가폰, 확성기"
selfish,이기적인
bleach,"표백제, 하얗게 되다"
deposit,"보증금, 예금"
yield,"수익을 내다, 산출"
ocean,"바다, 해양"
distinctiveness,"별개, 특수성"
liar,거짓말쟁이
enchant,매혹하다
direct,"직접적인, 지휘"
surplus,"과잉, 흑자"
indirect,간접적인
comedy,희극
clip,"자르다, 핀"
in part,일부는
trustworthiness,진실성
extraordinary,비범한
notably,"현저하게, 분명히"
correctly,정확하게
contribution,기부
raise,"올리다, (동물이나 아이를)기르다"
bound,"튀어 오르다, 경계선"
degree,"정도, 학위"
stockpile,저장하다
outnumber,~보다 수가 많다
credit A with B,A가 B를 가지고 있다고 인정하다
infant,유아(의)
unlike,~와는 다르게
mechanically,기계적으로
baseless,근거 없는
inspect,"검사하다, 시찰"
troublesome,"성가신, 골칫거리"
electric,전기의
biological,생물학적인
ease,편함
specialist,전문가
caretaker,관리인
boil,"끓다, 격분하다"
inside,안쪽
primary,"첫째의, 주요한"
promise,약속(하다)
A as well as B,B뿐만 아니라 A도
progressively,"계속해서, 점진적으로"
soldier,군인
date from,~부터 시작되다
calmly,조용히
emptiness,"공허감, 비어있는 것"
register,등록(하다)
overtime,초과근무
distort,"왜곡하다, (형체를) 비틀다"
lung,폐(내장 기관)
perception,"인식, 통찰력"
internal organ,내장(내부 기관)
orderly,"규칙적으로, 정돈된"
sheet,"얇은 천, 종이 한 장"
kidnapping,유괴
alternately,"양자택일로, 번갈아"
conceive,"상상하다, 임신하다"
macular,반점이 있는
originality,독창성
at times,때때로
heir,"상속인, 계승하다"
superficial,"피상적인, 얄팍한"
trigger,"(총의)방아쇠, (사건을)유발하다"
disability,"무능, 장애"
unacceptably,용납할수 없게
skillfully,"교묘하게, 솜씨 있게"
anger,분노
snapshot,스냅 사진
talkative,"수다스러운, 이야기하기 좋아하는"
fragrant,향기로운
informed,"통보된, 잘 아는"
potentially,잠재적으로
dread,"두려워하다, 공포"
perhaps,아마도
unsuspect,의심하지 않다
citizen,시민
emitter,"발행인, 방사체"
either A or B,A이거나 B인
tofu,두부
eco-insurance,생태 보험
pollute,오염시키다
countryside,"지방, 시골지역"
torch,횃불
overtake,"~을 추월하다, 불시에 닥치다"
combat,"전투, 방지하다"
monstrous,기괴한
crown,왕관
ashamed,부끄러워하는
lift,들다
smooth,"부드러운, 순조로운"
eyeball,안구
collaboration,"협동, 공동작업"
durability,"튼실함, 내구성"
terrorism,테러
plate,"접시, 요리"
shipwreck,난파
offspring,"자손, 자식, 파생물, 결과"
terminology,전문용어
fear,두려움
yet,"그러나, 아직"
alien,"이질적인, 외계인"
twist,"구부리다, 꼬다"
nuclear,"핵, 원자력의"
curly,곱슬머리의
reflect,"반사하다, 나타내다"
convert,"개종하다, 전환시키다"
preparation,준비
inside out,뒤집어서
hormone,호르몬
distantly,"멀리, 냉담하게"
deficit,"부족, 적자"
dive,잠수하다
digestive,소화의
amendment,개정안
level,수준
at a rate,~한 비율로
insert,삽입하다
disorder,"혼란, 장애"
armrest,팔걸이
chew on,"잔소리하다, 심사숙고하다"
veil,"베일, 면사포"
troop,군대
profound,"심오한, 엄청난"
indicator,"지시자, 지표"
era,시대
seldom,좀처럼 ~않는
transmit,"전송하다, 전염시키다"
wirelessly,무선으로
sufficiently,충분히
copious,"대량의, 자세한"
in return,답례로
frustrated,좌절한
rise,"오르다, 성공, 증가"
breed,"번식, 사육하다"
pretend,~인 체하다
smokescreen,연막
outdated,구식의
revolt,"폭동, 반발하다"
retail,소매(상)
belief,신뢰
sweet,달콤한
frequency,"빈도, 주파수"
forehead,"이마, 앞부분"
broaden,넓히다
skid,미끄러지다
tolerance,"관용, 이해"
lid,"뚜껑, 단속"
vibrate,진동하다
cutdown,축소
article,"기사, 한 품목"
devastating,"괴멸적인, 충격적인"
synchronize,"일치시키다, 동시에 일어나다"
harmonize,조화시키다
antioxidant,산화방지제
contest,"경쟁, 대회"
unzip,지퍼를 열다
billion,"10억, 막대한 수"
childhood,유년 시절
fairy,요정
activity,활동
stimulation,"자극, 격려"
novelist,소설가
condominium,아파트(공동주택)
blood vessel,혈관
breath,호흡
foundation,"기초, 설립"
drastically,"맹렬히, 철저히"
interruption,"중단, 방해"
omit,"생략하다, (~하는 것을)잊다"
store,"저장하다, 상점"
let out,흘러나오다
department,"(조직의)한 부분, 일부"
smash,"부딪히다, ~을 산산이 부수다"
customary,습관적인
frequently,빈번하게
ecological,생태학적인
nest,"둥지, 은신처"
flip,"튀기다, 가볍게 치다"
chord,(악기의)코드
satisfy,만족시키다
currency,"통화, 화폐"
turn away,"대면하다, 거부하다"
in the end,결국에는
noted,유명한
pointless,"무의미한, (경기가)무득점인"
pull over,길 한쪽에 세우다
certainty,확실성
mess,"혼잡, 엉망진창인"
feeble,"연약한, 희미한"
bubble,거품
remove,제거하다
divorce,이혼하다
peculiarity,특이성
consecutive,"연속의, 일관된"
percent,퍼센트
traffic,교통
sailor,선원
dictionary,사전
destine,"예정해 두다, 운명 짓다"
beholder,구경꾼
pronoun,대명사
souvenir,"기념품, 추억"
enlarge,확대하다
component,"구성하는, 성분"
toil,"수고, 올가미"
physique,"체격, (토지의)지형"
treasure,"보물, ~을 소중히 하다"
thrive,"번영하다, 목표를 달성하다"
recall,"회상하다, 소환하다"
mercy,자비
itch,가려움
back up,후원하다
suddenly,갑자기
appeal,"호소하다, 힘·매력"
glaciologist,빙하학자
deluxe,호화로운
dialect,방언
enthusiasm,열정
tale,"이야기, 거짓말"
sustain,"지탱하다, ~을 계속하다"
noodle,"국수, 이것저것 생각해보다"
influential,영향을 미치는
favorite,좋아하는
rarely,"드물게, 각별하게"
graduation,졸업
whether,~인지 아닌지
volatile,"휘발성의, 즉흥적인"
stubborn,완고한
response,응답
so to speak,말하자면
formula,"방식, 공식"
cultivate,"경작하다, 양성하다"
preschool,유치원생의
desperate,"필사적인, 절망적인"
fat,"지방, 살찐"
cheery,기분 좋은
necessity,필수품
innovate,"혁신하다, 도입하다"
ethics,윤리
awesome,"무시무시한, 멋진"
set in motion,시동을 걸다
used to,~하곤 했다
socialize,"사귀다, 사회화하다"
arch,활 모양의
card,카드
renovate,"개조하다, 혁신하다"
hesitate,주저하다
exhibit,"전시하다, 나타내다"
give up,포기하다
bone,뼈
come from,~의 출신이다
run out of,~을 다 써 버리다
momentum,"운동량, 탄력"
mechanical,기계의
instant,즉석의
railroad,철도
figure out,"발견하다, 이해하다"
accuracy,정확성
drug,"약물, 술"
report,보고(하다)
refugee,"난민, 망명자"
bonfire,모닥불
trash,"더럽히다, 쓰레기"
mistreat,혹사하다
admit,"인정하다, (입장을)허가하다"
deadline,"사선, 최종기한, 사용 금지하다"
expansiveness,"광대함, 팽창"
in spite of,~에도 불구하고
give out,"다하다, 정지하다"
cardinal,"기본적인, 주요한"
tiresome,"귀찮은, 싫증나는"
roll,"구르다, (자동차, 열차가)달리다"
independently,독립적으로
liberty,자유
scream,"소리치다, 분노를 터뜨리다"
match up,~와 일치하다
remind,상기시키다
fancy,"화려한, 장식된"
indoor,실내의
paralyze,"마비시키다, ~을 무력하게 하다"
improvement,개선하다
relativism,상대성 이론
huge,거대한
benefit,"이익, 도움(원조)"
niche,"적재적소, 적절한 곳"
dominant,"지배적인, 뛰어난"
congratulation,축하
room,"방, 공간"
require,요구하다
mom-and-pop,가족 경영의 
wrestle,"싸우다, 레슬링 시합을 하다"
nearby,가까이에
deprivation,결핍
relative,"친척, 상대적인"
large-scale,대규모의
width,넓이
wail,울부짖다
astonishing,놀라운
eternally,영원히
vacuum,진공(의)
stable,"안정된, 마구간"
injure,상처를 입히다
independent,독립적인
apparent,"분명한, 외관상의"
explorer,"탐험가, 검사장치"
flattery,아첨
poverty,"가난, 결핍"
sore,"아픈, 슬픈"
pod,(식물의)꼬투리
headquarter,본부
darkness,어둠
directly,직접적으로
violate,"위반하다, ~을 난폭하게 다루다"
nevertheless,그럼에도 불구하고
familiarity,친밀
wealthy,부유한
colony,"식민지, 집단거주지"
temperate,"절제하는, (기후가)온화한"
involvement,"연루, 분쟁"
sarcastic,"빈정대는, 풍자적인"
assume,"가정하다, ~라고 생각하다"
take on,~을 인수하다
well-known,잘 알려진
that is to say,즉
biologically,생물학적으로
institute,"연구소, (제도를)마련하다"
lonely,고독한
grocery,식료 잡화점
post,"게시하다, 지위, 기둥"
swap,"바꾸다, 물물교환하다"
instinctively,본능적으로
sensation,"감각, 반향, 큰 이야깃거리"
experiment,실험(하다)
pass for,~로 통하다
correctness,정확함
workload,"작업량, 업무량"
save,"구하다, 저금하다"
purr,(고양이가) 그르렁거리다
neighborhood,"이웃, 근접"
gravity,중력
core,"핵심, (지구의)중심부"
protect,보호하다
companionship,교우
awareness,"인지, 주의"
exact,"정확한, 엄중한, 강요하다"
of value,가치가 있는
eliminate,제거하다
sugarcane,사탕수수
claw,갈고리발톱
cite,"인용하다, 소집하다"
recipient,수취인
counterpart,"사본, 상대물"
motivate,동기를 부여하다
so-called,이른바
rigor,"어려움, 가혹함"
sophisticated,"세련된, 정교한"
spine,등뼈
integrate,"통합하다, 완성하다"
fierce,"거친, 사나운"
once in a while,가끔씩
employee,직원
comet,혜성
on duty,직무중의
neat,단정한
unexplainable,설명할 수 없는
additionally,추가적으로
develop,"발달시키다, (사진을)현상하다"
evidence,증거
garbage,쓰레기
soybean,콩
unsuccessful,실패한
turn in,~을 제출하다
observation,"관찰, 판단"
bad dream,악몽
illegal,불법의
time and again,반복해서
forum,연설장
depict,"표현하다, ~을 그리다"
bark,짖다
leave A for B,A를 내버려 두고 B에게 가다
grief,슬픔
productivity,생산성
plague,"전염병, 재해"
stupid,어리석은
ethologist,동물행동학자
work,작용하다
serenade,세레나데(를 연주하다)
subtract,"공제하다, (수학에서)빼다"
figure,"숫자, 계산, 형태"
ridiculous,"우스운, 바보스러운"
pickup,"짐을 싣는 것, 수집"
bury,"묻다, 망각하다"
marriage,결혼
dare,감히~하다
landscape,풍경
illusion,환상
strategy,전략
fairness,공정
plump,"풍만한, 털썩 떨어지다"
bean,콩
communication,통신
combine,결합시키다
fold,"접다, 포개다"
adventure,"모험, 위험을 무릅쓰다"
space,"우주, 공간"
complexity,복잡성
detail,"세부, 상술하다"
imagine,상상하다
audition,오디션
vanish,"사라지다, 희미해지다"
ordinary,보통의
field,"분야, 들판"
bureau,"사무국, 안내소"
outdoor,집 밖의
affectionate,애정 어린
interest,흥미
crisis,위기
pigment,색소
make use of,~을 이용하다
standard,"표준, 깃발"
survival,생존
nickname,별명
guy,남자
ironically,반어적으로
panic,공포(를 일으키다)
prevalent,"유행하는, 보급된"
participant,"참여하는, 참가자"
quote,인용하다
ridicule,"비웃음, 비웃다"
fuel,연료를 급유하다
wife,아내
thief,도둑
discussion,토의
remodel,"개조하다, 고치다"
subscription,"기부(금), 정기구독(료)"
prefer,~을 보다 더 좋아하다
cyclist,자전거 타는 사람
divert,전환하다
rigid,엄격한
client,고객
uplift,"들어 올리다, 사기를 북돋우다"
instead,대신에
court,안마당
impatience,"성급함, 참지 못함"
investigate,~을 조사하다
indirectly,간접적으로
portrayal,"묘사, 초상(화)"
tourist,관광객
speech,연설
take hold of,~을 붙들다
substantial,"실질적인, (양·크기가)상당한"
apart from,별도로
be aware of,~을 알고 있는
excitement,흥분
contractor,청부인(계약자)
endlessly,끝없이
rapidly,재빠르게
advertise,광고하다
edition,"(초판, 재판의)판"
eyebrow,눈썹
footwear,신발(류)
quarter,"4분의 1, 15분"
uncertainty,불확실성
load,"짐, (정신적)부담"
octopus,문어
instruction,"지시, 교육"
surgery,외과
amazingly,놀랍게도
complementary,"보충의, 서로 보완하는"
handicap,장애
heap,"더미, ~을 쌓아올리다"
right,"오른쪽, 바른, 권리"
oval,타원형(의)
chemistry,화학
flame,"불꽃, 타오르다"
make a living,생계를 유지하다
antique,골동품
succeed,성공하다
diversity,다양성
standing time,대기 시간
burn,타다
precede,"우선하다, ~에 앞서다"
cooperative,협력적인
extensive,광범위한
obey,복종하다
be going to,~할 예정이다
wage,"임금, 투쟁하다"
excite,흥분시키다
partner,파트너
snap,"잡아채다, (찰깍)소리 나다"
improve,개선하다
exclude,"제외하다, 추방하다"
dump,쓰레기
stature,"키, (신체·도덕적)발달"
rechargeable,재충전되는
name A after B,B의 이름을 따서 A라고 이름 짓다
bull,"황소, (코끼리의)수컷"
compress,압축
aggressive,공격적인
suntan,선탠(볕에 그을림)
investigation,조사
head,"머리, 향하다, 지휘하다, "
bright,"빛나는, 영리한"
farmland,농토
inner,내면의
duty,의무
assault,"공격하다, 비난"
take place,발생하다
cozy,"기분 좋은, 아늑한"
uncomfortable,불편한
subject,"주제, 주어, 피실험자"
by no means,반드시 ~한 것은 아닌
leave A to B,A를 B에게 맡기다
realize,"깨닫다, 알아차리다"
ignore,무시하다
understandably,"당연히, 분명히"
zap,잽싸게 움직이다
versus,대(vs)
flickering,깜박거리는
intent,"의지, 의도, 취지"
compromise,타협하다
net-like,그물모양 같은
horizontally,수평으로
encourage,용기를 북돋다
babble,"왁자지껄 하다, 재잘거리다"
compatriot,같은 나라의
synonymous,동의어의
twinkling,빛나는
gradually,차츰
blindly,맹목적으로
magnify,~을 확대하다
ethnic,인종의
cholesterol,콜레스테롤
luxurious,사치스러운
psychic,영혼의
deregulation,규제완화
crime,범죄
package,"꾸러미, 세트판매"
surrender,항복하다
convenient,편리한
likeness,"닮음, 유사성"
astrology,점성학
circulate,"순환하다, 유포하다"
compute,"계산하다, 컴퓨터를 조작하다"
intense,"강렬한, 혹독한"
persist,"고집하다, 지속하다"
travel,여행(하다)
periodic,주기적인
strikingly,두드러지게
persuasively,설득력 있게
punish,벌하다
be good for,"~에 좋다, ~에 알맞다"
rage,격노
resent,분개하다
shipment,"선적, 수송"
in contrast,대조적으로
significance,"의미, 중요성"
entertainment,오락
preserve,보존하다
terrific,"굉장한, 엄청난"
runny,"(콧물·눈물이)흐르는, 흐르는 경향이 있는"
community,"공동체, 지역사회"
merely,"단지, 겨우"
cynical,냉소적인
multiracial,"다민족의, 복합인종의"
hub,(활동의)중심
landlord,집주인
organ transplant,장기 이식
lip,"입술, 수다"
a stack of,많은
excited,흥분한
enter,"들어가다, 입학하다"
muscle,근육
valid,유효한
impress,~에 감명을 주다
half,"절반, 2분의1"
well-being,행복
dissatisfy,불만을 느끼게 하다
dot,점(을 찍다)
alternative,"양자택일, 대안"
perform,"수행하다, 연기하다"
inexpensive,"저가의, 비용이 들지 않는"
slight,적은
envy,질투
organization,"조직, 기구"
suck,흡수하다
distasteful,"불쾌한, 마음에 들지 않는"
stomachache,복통
canvas,"우화, 배경"
catalog,목록
resume,"재개하다, 개요"
incredibly,"엄청나게, 믿을 수 없이"
hydrogen,(화학)수소
desirable,바람직한
multiple,"다중의, 배수"
glorious,영광스러운
coworker,동료
conclude,"끝내다, 결론짓다"
attic,다락방
monolog(ue),독백
completely,완전히
overheat,과열시키다
aging,고령화
trans fat,트랜스지방
graduate school,대학원
furious,맹렬한
exploration,"탐구, 진찰"
break into,~에 침입하다
shepherd,"양치기, 안내하다"
painful,고통스런
sculpture,조각품
blood,혈액
criticize,비평하다
divide,~을 나누다
meeting,회의
utilize,이용하다
calculate,"계산하다, 추정"
guilt,"유죄, 책임"
indicate,가리키다
keep out,못 들어오게 막다
leather,가죽
skin,피부
anniversary,기념일
religious,종교적인
turn on,켜다
existence,존재
by chance,우연히
friendly,친근한
erect,"~을 세우다, 자세가 바른"
board,"판자, 탑승하다"
glad,기쁜
somehow,어떻게든 
spectator,"구경꾼, 관중"
bookshelf,책꽂이
actually,실제로
kindhearted,친절한
aquatic,수생의
needless to say,말할 것도 없이
prison,교도소
leopard,표범
insect,곤충
promptly,"즉시, 신속하게"
discipline,"훈련하다, 규율"
take for granted,당연히 여기다
representative,"대표자, 대표하는"
expressway,고속도로
contradictory,"정반대의, 모순의"
companion,"동료, 동반하다"
dispute,논쟁하다
prolonged,"길게 이어지는, 장기적인"
take over,인수하다
guilty,유죄의
frantically,"미친 듯이, 굉장히"
skeptical,회의적인
find out,"파악하다, 발견하다"
tribal,부족의
modified,변경된
clumsy,"어설픈, 솜씨가 나쁜"
credit card,신용카드
thorough,"전적으로, 철저한"
rot,부패하다
instance,"보기, ~을 예로 들다"
attractive,매력적인
dent,움푹 들어간 곳
wear,"입다, 착용하다"
intensive,"강한, 집중적인"
mist,안개
dazzle,"현혹시키다, 눈부시게 하다"
address,"주소, 인사말, 연설하다 "
replace,대체하다
wicked,사악한
director,"지도자, 감독"
follow,"따르다, 이해하다"
chill,추위
dealership,판매 대리점
industrial,산업의
aquatic,수생의
fridge,냉장고
prey,"먹이, 잡아먹다"
escort,"호위자, 호위하다"
carry into,실행하다
come in handy,편리하다
impure,더러운
warn,경고하다
mix,~와 섞다
wasteland,폐허
bribe,"뇌물, 매수하다"
pony,조랑말
dramatically,극적으로
difficulty,어려움
fur,"모피, 털"
unreal,허위의
sight,시야
discourage,"낙담시키다, 막다"
effortless,"힘들지 않는, 노력하지 않는"
swiftly,신속하게
offend,"위반하다, 성나게 하다"
usefulness,"유용성, 쓸모 있음"
firework,불꽃
out of place,장소에 어울리지 않는
loaded,짐을 실은
calculator,계산기
friendship,우정
curdle,"분리되다, 응고시키다"
yawn,하품하다
expression,표현
unemployed,실직한
facilitation,"촉진, 용이하게 함"
absurd,"불합리한, 우스꽝스러운"
filmmaker,영화 제작자
on business,사업상
imply,"암시하다, 의미하다"
detector,"발견자, 탐지기"
dish,접시
sign,"서명하다, 표시"
for good,영원히
terror,공포
loosely,"부정확하게, 느슨히"
curriculum,교과 과정
pigeon,비둘기
practically,"실제로, 실용적으로"
foster,~을 촉진하다
humbling,"겸손한, (신분·지위가)미천한"
spotlight,스포트라이트
overgeneralization,과도한 일반화
theory,이론
other than,~이외에
drive,몰아내다
wireless,무선의
aggressor,침략자
unfortunate,불행한
beautician,미용사
overcome,극복하다
unrelated,관계가 없는
cease,중지하다
brain,뇌
avalanche,눈사태
conquer,정복하다
unprepare,예상치 못한
stroke,"타격, 맥박"
life,"생물, 생명"
further,더 멀리
acquaintance,"아는 사람, 지인"
turn,"회전시키다, 돌리다"
optimistic,낙천주의의
miss,"놓치다, 그리워하다"
dedication,"기부, 헌신"
bow,머리를 숙이다
education,교육
integrity,"성실, 완전"
insult,모욕(하다)
clinical,"임상의, 간소한"
fairly,"공정히, 꽤"
promotion,"승진, 홍보"
brief,간결한
mushroom,"버섯, 급격히 퍼지다"
bankrupt,파산한
commotion,소란
resemble,~을 닮다
aerobic,에어로빅
recently,최근에
rubber,"고무, 지우개"
immense,"거대한, 막대한"
compose,"구성하다, 작곡하다"
mysterious,미스터리한
sheep,양(동물)
recognize,"인식하다, 공인하다"
prediction,예언
uniform,유니폼
wash,세탁하다
exhibition,전람회
grower,"재배자, 자라는 식물"
silence,"침묵, 고요"
suitcase,여행 가방
nervous system,신경계
flood,홍수
crave,갈망하다
resist,저항하다
harvest,"수확, 수확물"
dry,건조한
novel,소설
movement,"운동, 이동"
face,"얼굴, 직면하다, 향하다"
barn,헛간
assign,"배정하다, (일·책임 등을)맡기다"
attractively,매력적이게
job seeker,구직자
lawn,잔디
physicist,물리학자
roasted,구운
grocer,식료품 잡화상
remarkable,주목할 만한
long for,~을 갈망하다
even,"심지어, 평평한, 짝수의"
chart,도표
lax,"태만한, 늘어진"
ambiguous,애매한
human,인간
slide,"미끄러지다, (가치가)떨어지다"
be broke,파산하다
quickly,빨리
verify,증명하다
favor,호의를 보이다
yeast,효모
blow up,폭발하다
mythical,"신화의, 사실이 아닌"
irrationally,"불합리하게, 비이성적으로"
regional,지역의
excessive,과도한
outgoing,"외향성의, (자리를)떠나는"
beside,~의 옆에
passive,수동적인
no(t) A but B,A가 아니라 B
protective,보호하는
copywriter,작가
markedly,두드러지게
furniture,가구
flight,비행
jellyfish,해파리
popular,"인기 있는, 대중적인"
rusty,녹슨
burden,"짐, 부담을 지우다"
guide,안내하다
define,"~을 정의하다, 분명히 밝히다"
cargo,화물
extreme,극도의
specialize,전문으로 하다
generous,"관대한, 넉넉한"
note,기록
supposedly,"아마도, 추정상"
turtle,거북이
translate,"번역하다, 통역하다"
mice,쥐(mouse)의 복수형
juvenile,"청소년의, 어린애 같은"
ash,"재 (화산재, 담뱃재등)"
homelessness,집 없는 사람
development,발전
decentralize,분산시키다
laptop,노트북 (컴퓨터)
rate,비율
astonish,~을 놀라게 하다
celebrated,유명한
pleasant,즐거운
convenience,편의
from time to time,때때로
fig,무화과
risk,위험
hallway,복도
enforce,"집행하다, 강력히 주장하다"
geographical,지리학의
memorize,기억하다
distance,"거리, 먼 곳"
nursery rhyme,자장가
thirst,목마름
diet,"음식, 식이요법"
pitch,"던지다, 음의 높이"
underdeveloped,저개발의
professionally,전문적으로
for the time being,당분간은
take A off B,B에서 A를 떼다
purely,"순수하게, 오직"
consumption,소비
equator,적도
distress,"곤란, 괴로움"
ask to,"질문하다, ~에 초대하다"
additional,추가적인
make a decision,결심하다
atmospheric,"대기의, 분위기의"
skydiver,스카이다이버
settlement,정착
faint,"희미한, 미약한"
innate,타고난
springtime,봄철
seasoning,조미료
prescribe,"처방하다, 규정하다"
since,~한 이후로
valley,계곡
handshake,악수
thumb,엄지
social,사회의
impatiently,"성급하게, 참지 못할 만큼"
lake,호수
overheard,"우연히 듣다, 도청하다"
emotionally,감정적으로
abolish,폐지하다
by and large,대체로
residence,거주
prior to,~보다 전에
lie,"눕다, 놓여있다, 거짓말하다"
roach,바퀴벌레
description,묘사
honeymoon,신혼여행
mud,진흙
per capita,1인당
nerve,"신경, 용기(courage)"
nutrition,영양소
witless,"지혜 없는, 무분별한"
synonymously,"같은 뜻으로, 동의어로"
arrogance,거만
pull down,낮추다
longevity,장수
strengthen,강화되다
oppression,"억압, 고난"
army,군대
individualistic,개인적인
decide,결정하다
storm,폭풍
await,~을 기다리다
geography,지리학
religion,종교
flinch,"위축되다, 뒷걸음치다"
contestant,"경쟁자, 대회참가자"
superstitious,미신의
pop,팡 터뜨리다
fog,안개
facial,얼굴의
associate,"결합하다, 연상하다"
tablet,알약
applause,박수갈채
underneath,~아래에
party,"정당, 파티"
comprehensive,"포괄적인, 넓은"
take off,벗다
entrance,"입장, 입학"
reaction,반응
sophisticate,"세련된 사람, 정교하게 하다"
diabetes,당뇨병
foolish,어리석은
mystery,미스터리
bishop,"감독자, 주교"
in particular,특히
defect,"결점, 장애"
successive,연속적인
chase,추적하다
exaggeration,과장
adequate,적당한
progress,진보(하다)
motherhood,모성
way,"길, 방법"
sensible,"합리적인, 분별 있는"
disaster,재해
ski,스키(를 타다)
liquid,액체의
mainly,"주로, 대부분"
border,경계선
deceive,속이다
fundamental,근본적인
displease,~을 불쾌하게 하다
haircut,"머리모양, 이발"
weigh,무게를 달다
hire,"고용하다, 빌려주다"
contemporary,"동시대의, 현대의"
lengthy,"긴, 장황한"
garage,차고
wool,양모
accomplishment,"성취, 업적"
arrest,~을 체포하다
success,성공
divine,신성한
donor,기부자
mold,틀(에 넣어 만들다)
habitual,습관적인
parade,행진(하다)
summary,요약
hold up,"견디다, 떠받치다"
coordinated,"통합된, 연계된"
unfinished,끝나지 않은
conscious,의식하고 있는
tone,어조
analyze,분석하다
monitor,"모니터, 감시하다"
invisible,눈에 안 보이는
metal,금속의
tan,햇볕에 태우다
